Zm00001d000001	 ppo1;polyphenol oxidase1: vegetative meristem cDNA 7C02D02	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012307	Nucleobase-ascorbate transporter 12	[source:homolog]
Zm00001d012308	CDP-diacylglycerol--serine O-phosphatidyltransferase 1	[source:homolog]
Zm00001d012310	Aminopeptidase M1	[source:homolog]
Zm00001d012311	V-type proton ATPase subunit C	[source:homolog]
Zm00001d012312	Undecaprenyl pyrophosphate synthetase  	 [source: RefGen_v3] 
Zm00001d012313	Carbohydrate-binding-like fold	[source:homolog]
Zm00001d012314	Nuclear pore complex protein NUP62	[source:homolog]
Zm00001d012320	Cell division control protein 6 homolog B	[source:homolog]
Zm00001d012321	Nematode resistance protein-like HSPRO2	[source:homolog]
Zm00001d012322	cytochrome P450 family 81 subfamily D polypeptide 8	[source:homolog]
Zm00001d012325	Tetratricopeptide repeat (TPR)-like superfamily protein	[source:homolog]
Zm00001d012326	Cytochrome P450 86A1	[source:homolog]
Zm00001d012327	Probable ubiquitin-like-specific protease 2B	[source:homolog]
Zm00001d012328	hAT transposon superfamily protein	[source:homolog]
Zm00001d012329	Probable ubiquitin-like-specific protease 2B	[source:homolog]
Zm00001d012330	Putative homeobox DNA-binding domain superfamily protein  	 [source: RefGen_v3] 
Zm00001d012333	HXXXD-type acyl-transferase family protein	[source:homolog]
Zm00001d012335	 czog2;cis-zeatin O-glucosyltransferase2: enzymatic activity like that of czog1 but high in roots and low in kernels; 97.8% identity at amino acid level	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012336	Calcium-dependent lipid-binding (CaLB domain) family protein	[source:homolog]
Zm00001d012337	MYB-type transcription factor  	 [source: RefGen_v3] 
Zm00001d012338	Coronatine-insensitive protein 1	[source:homolog]
Zm00001d012340	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d012341	guanylyl cyclase 1	[source:homolog]
Zm00001d012342	Guanine nucleotide exchange factor SPIKE 1	[source:homolog]
Zm00001d012344	Tetratricopeptide repeat-like superfamily protein	[source:homolog]
Zm00001d012346	E3 ubiquitin-protein ligase HOS1	[source:homolog]
Zm00001d012348	Golgin candidate 6	[source:homolog]
Zm00001d012349	AT-rich interactive domain-containing protein 2	[source:homolog]
Zm00001d012350	UPF0503 protein  chloroplastic	[source:homolog]
Zm00001d012351	Chromatin assembly factor 1 subunit FAS1	[source:homolog]
Zm00001d012353	30S ribosomal protein S17 chloroplastic	[source:homolog]
Zm00001d012354	Increased DNA methylation 1	[source:homolog]
Zm00001d012358	 protein; Tyrosine specific protein phosphatase-like	[source:homolog]
Zm00001d012359	Leucine-rich repeat protein kinase family protein	[source:homolog]
Zm00001d012361	Ataxin-3 homolog	[source:homolog]
Zm00001d012362	O-fucosyltransferase family protein	[source:homolog]
Zm00001d012363	Protein STRICTOSIDINE SYNTHASE-LIKE 11	[source:homolog]
Zm00001d012366	Protein STRICTOSIDINE SYNTHASE-LIKE 11	[source:homolog]
Zm00001d012367	Axi 1 protein from Nicotiana tabacum	[source:homolog]
Zm00001d012368	Protein STRICTOSIDINE SYNTHASE-LIKE 11	[source:homolog]
Zm00001d012369	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
Zm00001d012371	Protein STRICTOSIDINE SYNTHASE-LIKE 11	[source:homolog]
Zm00001d012373	Protein STRICTOSIDINE SYNTHASE-LIKE 11	[source:homolog]
Zm00001d012375	Protein STRICTOSIDINE SYNTHASE-LIKE 11	[source:homolog]
Zm00001d012377	Protein STRICTOSIDINE SYNTHASE-LIKE 11	[source:homolog]
Zm00001d012378	SOUL heme-binding family protein	[source:homolog]
Zm00001d012379	myb domain protein 109	[source:homolog]
Zm00001d012380	Phosphatidylinositol:ceramide inositolphosphotransferase 1	[source:homolog]
Zm00001d012382	Adenine nucleotide alpha hydrolases-like superfamily protein	[source:homolog]
Zm00001d012387	Embryogenesis transmembrane protein-like;  protein	[source:homolog]
Zm00001d012388	Ras protein Rab11C  	 [source: RefGen_v3] 
Zm00001d012390	Vacuolar-sorting receptor 4	[source:homolog]
Zm00001d012391	Delta 1-pyrroline-5-carboxylate synthetase isoform 1%3B Delta 1-pyrroline-5-carboxylate synthetase isoform 2  	 [source: RefGen_v3] 
Zm00001d012392	Putative cyclin-dependent protein kinase C family protein  	 [source: RefGen_v3] 
Zm00001d012393	Integral membrane HRF1 family protein	[source:homolog]
Zm00001d012394	 psy2;phytoene synthase2: single copy cDNA, csu572, similar to tomato phytoene synthase; carotenoid biosynthesis	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012395	Mannose-1-phosphate guanylyltransferase 1	[source:homolog]
Zm00001d012396	Transcription initiation factor TFIID subunit 12b	[source:homolog]
Zm00001d012398	Putative regulator of chromosome condensation (RCC1) family protein  	 [source: RefGen_v3] 
Zm00001d012399	AT5G64030 (E=3e-063) | dehydration-responsive protein-related 	[source:homolog]
Zm00001d012400	Probable methyltransferase PMT10	[source:homolog]
Zm00001d012401	 prh4;protein phosphatase homolog4:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012404	myb domain protein 3r-3	[source:homolog]
Zm00001d012407	 tpi5;triose phosphate isomerase5: electrophoretic mobility; cytosolic; dimeric intra/interlocus hybrids occur with Tpi3 & Tpi4	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012408	Putative laccase family protein  	 [source: RefGen_v3] 
Zm00001d012409	Histone-lysine N-methyltransferase ATXR3	[source:homolog]
Zm00001d012413	Probable WRKY transcription factor 49	[source:homolog]
Zm00001d012414	ROTUNDIFOLIA like 8	[source:homolog]
Zm00001d012415	Putative aspartic protease family protein  	 [source: RefGen_v3] 
Zm00001d012417	Fasciclin-like arabinogalactan protein 4	[source:homolog]
Zm00001d012418	ENTH/VHS family protein	[source:homolog]
Zm00001d012419	WUSCHEL-related homeobox 2	[source:homolog]
Zm00001d012420	Heat shock 70 kDa protein  	 [source: RefGen_v3] 
Zm00001d012421	ubiquitin carrier protein 7	[source:homolog]
Zm00001d012423	Histone H2B  	 [source: RefGen_v3] 
Zm00001d012424	Pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d012425	Ribosomal protein L17 family protein	[source:homolog]
Zm00001d012426	Protein UPSTREAM OF FLC	[source:homolog]
Zm00001d012427	Zinc finger protein ZAT11	[source:homolog]
Zm00001d012429	Nuclear poly(A) polymerase 3	[source:homolog]
Zm00001d012430	Zinc finger protein ZAT11	[source:homolog]
Zm00001d012431	plant-specific domain TIGR01589 family protein expressed	[source:homolog]
Zm00001d012432	Dirigent protein 25	[source:homolog]
Zm00001d012433	UDP-glucuronic acid decarboxylase 1	[source:homolog]
Zm00001d012434	alpha/beta-Hydrolases superfamily protein	[source:homolog]
Zm00001d012435	Probable membrane-associated kinase regulator 4	[source:homolog]
Zm00001d012437	Putative lung seven transmembrane receptor family protein  	 [source: RefGen_v3] 
Zm00001d012438	ABC transporter G family member 6	[source:homolog]
Zm00001d012439	Histone H4  	 [source: RefGen_v3] 
Zm00001d012440	Protein NETWORKED 2D	[source:homolog]
Zm00001d012441	CCT motif family protein	[source:homolog]
Zm00001d012445	Nuclear transcription factor Y subunit B-8	[source:homolog]
Zm00001d012446	V-type proton ATPase subunit a1	[source:homolog]
Zm00001d012447	Interactor of constitutive active ROPs 3	[source:homolog]
Zm00001d012451	CTD small phosphatase-like protein%3B CTD small phosphatase-like protein isoform 1%3B CTD small phosphatase-like protein isoform 2  	 [source: RefGen_v3] 
Zm00001d012452	Protein kinase superfamily protein	[source:homolog]
Zm00001d012456	jasmonate-regulated gene 21	[source:homolog]
Zm00001d012457	Calcium-dependent protein kinase 13	[source:homolog]
Zm00001d012458	SelT-like protein	[source:homolog]
Zm00001d012459	Farnesol kinase chloroplastic	[source:homolog]
Zm00001d012460	BAG family molecular chaperone regulator 4	[source:homolog]
Zm00001d012463	Putative RING/U-box superfamily protein  	 [source: RefGen_v3] 
Zm00001d012464	 npi414a; : similar to Arabidopsis NADH dehydrogenase	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012465	UPF0051 protein ABCI8 chloroplastic	[source:homolog]
Zm00001d012466	Probable metal-nicotianamine transporter YSL7	[source:homolog]
Zm00001d012467	Outer membrane OMP85 family protein	[source:homolog]
Zm00001d012471	Glutaredoxin family protein	[source:homolog]
Zm00001d012472	Ankyrin repeat family protein	[source:homolog]
Zm00001d012473	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5	[source:homolog]
Zm00001d012474	Thioredoxin superfamily protein	[source:homolog]
Zm00001d012475	AT-rich element binding factor 3  	 [source: RefGen_v3] 
Zm00001d012476	GDSL esterase/lipase 	[source:homolog]
Zm00001d012477	Laccase-13	[source:homolog]
Zm00001d012482	Putative WRKY DNA-binding domain superfamily protein  	 [source: RefGen_v3] 
Zm00001d012483	Polyadenylate-binding protein-interacting protein 9	[source:homolog]
Zm00001d012484	Heavy metal transport/detoxification superfamily protein	[source:homolog]
Zm00001d012485	Transmembrane amino acid transporter family protein	[source:homolog]
Zm00001d012486	D-mannose binding lectin protein with Apple-like carbohydrate-binding domain	[source:homolog]
Zm00001d012488	Major facilitator superfamily protein	[source:homolog]
Zm00001d012489	Beta-glucosidase 11	[source:homolog]
Zm00001d012494	U-box domain-containing protein 16	[source:homolog]
Zm00001d012495	GDSL esterase/lipase 	[source:homolog]
Zm00001d012497	Retrotransposon-like protein	[source:homolog]
Zm00001d012498	Transcription repressor OFP1	[source:homolog]
Zm00001d012499	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	[source:homolog]
Zm00001d012500	Putative RING zinc finger domain superfamily protein  	 [source: RefGen_v3] 
Zm00001d012501	Endoplasmic reticulum vesicle transporter protein	[source:homolog]
Zm00001d012503	Nucleic acid-binding OB-fold-like protein	[source:homolog]
Zm00001d012504	Protein FATTY ACID EXPORT 3 chloroplastic	[source:homolog]
Zm00001d012505	Putative WRKY DNA-binding domain superfamily protein  	 [source: RefGen_v3] 
Zm00001d012507	Putative WRKY DNA-binding domain superfamily protein  	 [source: RefGen_v3] 
Zm00001d012508	Putative WRKY DNA-binding domain superfamily protein  	 [source: RefGen_v3] 
Zm00001d012509	Clathrin heavy chain 2	[source:homolog]
Zm00001d012510	Putative cytochrome P450 superfamily protein  	 [source: RefGen_v3] 
Zm00001d012511	Protein kinase family protein with ARM repeat domain	[source:homolog]
Zm00001d012513	Ubiquitin-conjugating enzyme E2 11	[source:homolog]
Zm00001d012514	Probable inactive receptor kinase 	[source:homolog]
Zm00001d012515	proline-rich family protein	[source:homolog]
Zm00001d012516	WUSCHEL-related homeobox 13	[source:homolog]
Zm00001d012517	KH domain-containing protein	[source:homolog]
Zm00001d012518	2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase  	 [source: RefGen_v3] 
Zm00001d012520	Protein LURP-one-related 8	[source:homolog]
Zm00001d012521	Cation/H(+) antiporter 15	[source:homolog]
Zm00001d012522	Calcium uniporter protein 5 mitochondrial	[source:homolog]
Zm00001d012524	SKU5  similar 13	[source:homolog]
Zm00001d012525	Protein MOR1	[source:homolog]
Zm00001d012527	NAC domain-containing protein 2	[source:homolog]
Zm00001d012528	Pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d012529	Zinc finger protein VAR3 chloroplastic	[source:homolog]
Zm00001d012530	Ribosomal protein L34e superfamily protein	[source:homolog]
Zm00001d012531	Putative NADH-cytochrome B5 reductase family protein  	 [source: RefGen_v3] 
Zm00001d012534	Putative inositol polyphosphate phosphatase (Synaptogenin-like) family protein  	 [source: RefGen_v3] 
Zm00001d012535	Putative bifunctional inhibitor/LTP/seed storage protein family  	 [source: RefGen_v3] 
Zm00001d012536	Vacuolar protein sorting-associated protein 36	[source:homolog]
Zm00001d012537	ADP-ribosylation factor A1F	[source:homolog]
Zm00001d012538	ABSCISIC ACID-INSENSITIVE 5-like protein 2	[source:homolog]
Zm00001d012539	Protein RETICULATA-RELATED 3 chloroplastic	[source:homolog]
Zm00001d012542	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
Zm00001d012544	myb domain protein 81	[source:homolog]
Zm00001d012545	Serine-type endopeptidase inhibitor  	 [source: RefGen_v3] 
Zm00001d012546	Proteasome subunit alpha type-3	[source:homolog]
Zm00001d012548	Ribonuclease III domain-containing protein RNC1 chloroplastic	[source:homolog]
Zm00001d012549	Probable U3 small nucleolar RNA-associated protein 11	[source:homolog]
Zm00001d012550	Leucine-rich repeat (LRR) family protein	[source:homolog]
Zm00001d012552	Putative calcium-dependent protein kinase family protein  	 [source: RefGen_v3] 
Zm00001d012553	 obf4;octopine synthase binding factor4: cDNA clone, candidate for ocs-element transcription factor, small gene family	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012555	Protein MIZU-KUSSEI 1	[source:homolog]
Zm00001d012556	 tubb6;beta tubulin6b: cDNA sequence, gene specific probe	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012557	DNA-directed RNA polymerases II and IV subunit 5A	[source:homolog]
Zm00001d012559	Stomatal closure-related actin-binding protein 1	[source:homolog]
Zm00001d012560	 cyc4;cyclin4:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012561	Cystatin2%3B Cysteine proteinase inhibitor%3B Putative cystatin  	 [source: RefGen_v3] 
Zm00001d012562	Probable sugar phosphate/phosphate translocator 	[source:homolog]
Zm00001d012564	Probable E3 ubiquitin-protein ligase RHC1A	[source:homolog]
Zm00001d012566	BEST Arabidopsis thaliana protein match is: mucin-related (TAIR:AT2G02880.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (sou /.../CBI BLink).	[source:homolog]
Zm00001d012567	Glycerol-3-phosphate dehydrogenase [NAD(+)] GPDHC1 cytosolic	[source:homolog]
Zm00001d012568	Putative O-Glycosyl hydrolase superfamily protein  	 [source: RefGen_v3] 
Zm00001d012571	DNA-(apurinic or apyrimidinic site) lyase chloroplastic	[source:homolog]
Zm00001d012572	 al9;aleurone9: aleurone specific cDNA, unknown function	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012573	Probable inactive purple acid phosphatase 1	[source:homolog]
Zm00001d012574	Probable inactive purple acid phosphatase 1	[source:homolog]
Zm00001d012575	Protein MICRORCHIDIA 6	[source:homolog]
Zm00001d012578	DNA glycosylase superfamily protein	[source:homolog]
Zm00001d012581	Serine/threonine-protein kinase WNK (With No Lysine)-related	[source:homolog]
Zm00001d012584	Putative AP2/EREBP transcription factor superfamily protein  	 [source: RefGen_v3] 
Zm00001d012585	Putative AP2/EREBP transcription factor superfamily protein  	 [source: RefGen_v3] 
Zm00001d012591	Probable nucleoredoxin 1	[source:homolog]
Zm00001d012593	myosin heavy chain-related	[source:homolog]
Zm00001d012595	Pectin lyase-like superfamily protein	[source:homolog]
Zm00001d012598	40S ribosomal protein S25-2	[source:homolog]
Zm00001d012599	F1F0-ATPase inhibitor protein;  protein	[source:homolog]
Zm00001d012600	Protein kinase superfamily protein	[source:homolog]
Zm00001d012601	RNA-binding KH domain-containing protein	[source:homolog]
Zm00001d012602	early nodulin-like protein 9	[source:homolog]
Zm00001d012603	Methylesterase 3	[source:homolog]
Zm00001d012605	 mrpi1;MRP interacting1: C2H2 zinc finger protein	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012606	Pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d012607	NAD(P)H dehydrogenase (quinone) FQR1	[source:homolog]
Zm00001d012609	Serine/threonine-protein kinase  	 [source: RefGen_v3] 
Zm00001d012610	USP family protein  	 [source: RefGen_v3] 
Zm00001d012611	DNA repair metallo-beta-lactamase family protein	[source:homolog]
Zm00001d012612	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d012613	AM3  	 [source: RefGen_v3] 
Zm00001d012614	Cyclic nucleotide-gated ion channel 4	[source:homolog]
Zm00001d012615	External alternative NAD(P)H-ubiquinone oxidoreductase B4 mitochondrial	[source:homolog]
Zm00001d012618	VPS28-like protein  	 [source: RefGen_v3] 
Zm00001d012619	Protein ULTRAPETALA 1	[source:homolog]
Zm00001d012620	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
Zm00001d012624	SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-related	[source:homolog]
Zm00001d012625	L-type lectin-domain containing receptor kinase IX.1	[source:homolog]
Zm00001d012627	Insulin-degrading enzyme-like 1 peroxisomal	[source:homolog]
Zm00001d012628	Insulin-degrading enzyme-like 1 peroxisomal	[source:homolog]
Zm00001d012632	Adhesive/proline-rich protein%3B Proline-rich family protein  	 [source: RefGen_v3] 
Zm00001d012633	Eukaryotic aspartyl protease family protein	[source:homolog]
Zm00001d012634	Vps51/Vps67 family (components of vesicular transport) protein	[source:homolog]
Zm00001d012636	Putative DUF26-domain protein kinase family protein  	 [source: RefGen_v3] 
Zm00001d012640	Jacalin-related lectin 3	[source:homolog]
Zm00001d012641	 cko4b;cytokinin oxidase4b:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012642	Transcription factor bHLH92	[source:homolog]
Zm00001d012643	ER degradation-enhancing alpha-mannosidase-like 1  	 [source: RefGen_v3] 
Zm00001d012644	F-box protein 	[source:homolog]
Zm00001d012645	ABC transporter I family member 10 chloroplastic	[source:homolog]
Zm00001d012646	thylakoid lumenal P17.1 protein	[source:homolog]
Zm00001d012647	Polyketide cyclase / dehydrase and lipid transport protein	[source:homolog]
Zm00001d012648	Core-2/I-branching beta-16-N-acetylglucosaminyltransferase family protein	[source:homolog]
Zm00001d012651	Protein kinase family protein	[source:homolog]
Zm00001d012652	Signal recognition particle 54 kDa protein 3	[source:homolog]
Zm00001d012653	dyggve-melchior-clausen syndrome protein	[source:homolog]
Zm00001d012654	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	[source:homolog]
Zm00001d012655	Putative subtilase family protein  	 [source: RefGen_v3] 
Zm00001d012656	Lipoyl synthase 1%2C chloroplastic  	 [source: RefGen_v3] 
Zm00001d012659	TRAM LAG1 and CLN8 (TLC) lipid-sensing domain containing protein	[source:homolog]
Zm00001d012660	Regulatory protein NPR1  	 [source: RefGen_v3] 
Zm00001d012661	DExH-box ATP-dependent RNA helicase DExH6	[source:homolog]
Zm00001d012663	Putative MATE efflux family protein  	 [source: RefGen_v3] 
Zm00001d012664	Putative RING zinc finger domain superfamily protein  	 [source: RefGen_v3] 
Zm00001d012665	BSD domain-containing protein	[source:homolog]
Zm00001d012666	Probable xyloglucan glycosyltransferase 12	[source:homolog]
Zm00001d012667	Putative serine peptidase S28 family protein  	 [source: RefGen_v3] 
Zm00001d012668	Histone H4	[source:homolog]
Zm00001d012671	Cytidine/deoxycytidylate deaminase family protein	[source:homolog]
Zm00001d012672	 protein; Pentatricopeptide (PPR) repeat protein-like	[source:homolog]
Zm00001d012673	uvrB/uvrC motif-containing protein	[source:homolog]
Zm00001d012674	 cmu1;chorismate mutase1: function largely predicted; protein heterodimerizes with fungal chorismate mutase	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012675	Glutathione S-transferase 1  	 [source: RefGen_v3] 
Zm00001d012677	Glycerophosphodiester phosphodiesterase GDPD5	[source:homolog]
Zm00001d012681	RHOMBOID-like protein 12 mitochondrial	[source:homolog]
Zm00001d012682	Putative choline/ethanolamine kinase  	 [source: RefGen_v3] 
Zm00001d012683	UDP-arabinopyranose mutase 3	[source:homolog]
Zm00001d012685	Mitochondrial import inner membrane translocase subunit TIM50	[source:homolog]
Zm00001d012687	Putative phospholipase%2C patatin family protein  	 [source: RefGen_v3] 
Zm00001d012688	Protein tesmin/TSO1-like CXC 5	[source:homolog]
Zm00001d012689	 agrr21; : NCBI: protein CURVATURE THYLAKOID 1C, chloroplastic	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012690	Protein ABIL3	[source:homolog]
Zm00001d012691	Rop guanine nucleotide exchange factor 9	[source:homolog]
Zm00001d012693	Solute carrier family 23 member 2  	 [source: RefGen_v3] 
Zm00001d012694	Putative HCNGP-related transcriptional regulator family protein  	 [source: RefGen_v3] 
Zm00001d012696	Putative CBL-interacting protein kinase family protein  	 [source: RefGen_v3] 
Zm00001d012697	Putative CBL-interacting protein kinase family protein  	 [source: RefGen_v3] 
Zm00001d012699	Cupin%2C RmlC-type%3B Cupin%2C RmlC-type isoform 1%3B Cupin%2C RmlC-type isoform 2%3B Cupin%2C RmlC-type isoform 3  	 [source: RefGen_v3] 
Zm00001d012701	Phosphatidate cytidylyltransferase  	 [source: RefGen_v3] 
Zm00001d012702	Phosphoenolpyruvate carboxylase 3	[source:homolog]
Zm00001d012703	Dof zinc finger protein DOF1.5	[source:homolog]
Zm00001d012706	Acetamidase/Formamidase family protein	[source:homolog]
Zm00001d012707	Bifunctional riboflavin kinase/FMN phosphatase	[source:homolog]
Zm00001d012708	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d012709	Interactor of constitutive active ROPs 1	[source:homolog]
Zm00001d012710	SGS domain-containing protein	[source:homolog]
Zm00001d012711	Dihydropyrimidinase	[source:homolog]
Zm00001d012712	 ga2ox10;gibberellin 2-oxidase10:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012717	Potassium channel KAT1	[source:homolog]
Zm00001d012719	BZIP-type transcription factor  	 [source: RefGen_v3] 
Zm00001d012720	E3 ubiquitin-protein ligase ATL41	[source:homolog]
Zm00001d012721	Gibberellin receptor GID1	[source:homolog]
Zm00001d012722	DNA-directed DNA polymerases	[source:homolog]
Zm00001d012725	Transcription factor TCP4	[source:homolog]
Zm00001d012728	Putative DUF1421 domain family protein  	 [source: RefGen_v3] 
Zm00001d012729	Protein NUCLEAR FUSION DEFECTIVE 6 chloroplastic/mitochondrial	[source:homolog]
Zm00001d012731	Auxin response factor 3	[source:homolog]
Zm00001d012732	Optic atrophy 3 protein (OPA3)	[source:homolog]
Zm00001d012733	Protein RRP6-like 2	[source:homolog]
Zm00001d012734	Vascular plant one zinc finger protein  	 [source: RefGen_v3] 
Zm00001d012735	CONTAINS InterPro DOMAIN/s: Casein kinase substrate phosphoprotein PP28 (InterPro:IPR019380); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Euka /.../ - 2996 (source: NCBI BLink).	[source:homolog]
Zm00001d012737	protein kinase C substrate heavy chain-related	[source:homolog]
Zm00001d012738	alpha/beta-Hydrolases superfamily protein	[source:homolog]
Zm00001d012743	Putative prolin-rich extensin-like receptor protein kinase family protein  	 [source: RefGen_v3] 
Zm00001d012744	Cellulose synthase A catalytic subunit 8 [UDP-forming]	[source:homolog]
Zm00001d012745	ubiquinol-cytochrome C chaperone family protein	[source:homolog]
Zm00001d012746	Probable WRKY transcription factor 69	[source:homolog]
Zm00001d012747	Probable sugar phosphate/phosphate translocator 	[source:homolog]
Zm00001d012748	 trps15;trehalose-6-phosphate synthase15:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012749	 hstf2;heat shock transcription factor2: pollen cDNA similar to eucaryotic heat shock factor	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012750	MACPF domain-containing protein CAD1	[source:homolog]
Zm00001d012751	Putative homeodomain-like transcription factor superfamily protein  	 [source: RefGen_v3] 
Zm00001d012752	Dynamin-related protein 5A	[source:homolog]
Zm00001d012753	Peptidyl-prolyl cis-trans isomerase CYP37 chloroplastic	[source:homolog]
Zm00001d012754	Pleckstrin homology (PH) domain superfamily protein	[source:homolog]
Zm00001d012755	Zinc finger CCCH domain-containing protein 19	[source:homolog]
Zm00001d012757	Putative GATA transcription factor family protein  	 [source: RefGen_v3] 
Zm00001d012760	Golgin candidate 1	[source:homolog]
Zm00001d012761	Protein kinase family protein	[source:homolog]
Zm00001d012763	 krp16;kinesin-related protein16:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012764	 me4;malic enzyme4: Embryo and root specific; cytosolic	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012765	Peptidase M28 family protein	[source:homolog]
Zm00001d012766	Pectinesterase  	 [source: RefGen_v3] 
Zm00001d012767	IQ-domain 25	[source:homolog]
Zm00001d012769	Protein kinase family protein with leucine-rich repeat domain	[source:homolog]
Zm00001d012770	Putative translation elongation factor family protein  	 [source: RefGen_v3] 
Zm00001d012771	tRNA/rRNA methyltransferase (SpoU) family protein	[source:homolog]
Zm00001d012772	Profilin-1	[source:homolog]
Zm00001d012773	 prf3;Profilin homolog3: amino acid sequence deduced from cDNA shares 76-85% identity with two other plant profilins, 3-6 member gene family; gene specific probe	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012774	Putative prolin-rich extensin-like receptor protein kinase family protein  	 [source: RefGen_v3] 
Zm00001d012776	 dhn7;dehydrin7:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012779	RING-H2 finger protein ATL67	[source:homolog]
Zm00001d012780	Anthocyanidin 53-O-glucosyltransferase	[source:homolog]
Zm00001d012781	Anthocyanidin 53-O-glucosyltransferase	[source:homolog]
Zm00001d012782	UDP-glycosyltransferase 88A1	[source:homolog]
Zm00001d012784	rRNA processing protein-related	[source:homolog]
Zm00001d012785	Anthocyanidin 5%2C3-O-glucosyltransferase  	 [source: RefGen_v3] 
Zm00001d012786	Exosome complex exonuclease RRP44 homolog A	[source:homolog]
Zm00001d012787	Phenylalanine--tRNA ligase chloroplastic/mitochondrial	[source:homolog]
Zm00001d012788	UDP-glycosyltransferase 88A1	[source:homolog]
Zm00001d012789	Putative WRKY DNA-binding domain superfamily protein  	 [source: RefGen_v3] 
Zm00001d012790	late embryogenesis abundant protein	[source:homolog]
Zm00001d012791	 burp1;BURP domain-containing protein-RD22-like1: Water deficit caused an 18-fold increase in the expression; expression is not influenced by ABA	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012794	tRNA (guanine-N-7) methyltransferase	[source:homolog]
Zm00001d012795	SH2 domain protein B	[source:homolog]
Zm00001d012800	RNA-binding ASCH domain protein	[source:homolog]
Zm00001d012801	TRF-like 10	[source:homolog]
Zm00001d012802	Regulator of nonsense transcripts 1 homolog	[source:homolog]
Zm00001d012803	Replication protein-like	[source:homolog]
Zm00001d012805	Protein SIEL	[source:homolog]
Zm00001d012806	10A19I.15	[source:homolog]
Zm00001d012807	Kinesin-like protein KIN-12E	[source:homolog]
Zm00001d012809	Cysteine-type peptidase  	 [source: RefGen_v3] 
Zm00001d012810	 sig6;sigma-like factor6:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012811	La-related protein 1C	[source:homolog]
Zm00001d012812	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d012813	DUF3475 domain protein	[source:homolog]
Zm00001d012815	Protein EXPORTIN 1A	[source:homolog]
Zm00001d012816	Probable carbohydrate esterase 	[source:homolog]
Zm00001d012817	Sucrose nonfermenting 4-like protein	[source:homolog]
Zm00001d012818	Acyl carrier protein 3  	 [source: RefGen_v3] 
Zm00001d012819	Protein SRG1	[source:homolog]
Zm00001d012820	Outer envelope pore protein 24A chloroplastic	[source:homolog]
Zm00001d012821	Probable inactive poly [ADP-ribose] polymerase SRO1	[source:homolog]
Zm00001d012822	TRF-like 10	[source:homolog]
Zm00001d012823	Heat stress transcription factor A-1a	[source:homolog]
Zm00001d012824	RNA binding protein  	 [source: RefGen_v3] 
Zm00001d012825	RNA-binding (RRM/RBD/RNP motifs) family protein	[source:homolog]
Zm00001d012826	Exosome complex exonuclease RRP46 homolog	[source:homolog]
Zm00001d012827	ADP-ribosylation factor GTPase-activating protein AGD10	[source:homolog]
Zm00001d012829	Probable nicotianamine synthase 4	[source:homolog]
